dialogue_id	turn_id	annotations
iris_00057	37	VALID, VALID
iris_00058	1	VALID, VALID
iris_00058	3	ACCEPTABLE, ACCEPTABLE
iris_00058	5	ACCEPTABLE, VALID
iris_00058	7	VALID, VALID
iris_00058	9	VALID, ACCEPTABLE
iris_00058	11	INVALID, ACCEPTABLE
iris_00058	13	VALID, VALID
iris_00058	19	VALID, ACCEPTABLE
iris_00058	21	ACCEPTABLE, INVALID
iris_00058	23	VALID, INVALID
iris_00058	25	VALID, ACCEPTABLE
iris_00058	27	ACCEPTABLE, VALID
iris_00058	29	VALID, ACCEPTABLE
iris_00058	31	VALID, VALID
iris_00058	33	INVALID, INVALID
iris_00058	39	INVALID, INVALID
iris_00058	41	VALID, VALID
iris_00058	43	ACCEPTABLE, VALID
iris_00058	45	VALID, VALID
iris_00059	1	VALID, VALID
iris_00059	3	VALID, VALID
iris_00059	5	INVALID, ACCEPTABLE
iris_00059	7	ACCEPTABLE, VALID
iris_00059	13	ACCEPTABLE, ACCEPTABLE
iris_00059	15	INVALID, ACCEPTABLE
iris_00059	17	INVALID, ACCEPTABLE
iris_00059	19	ACCEPTABLE, VALID
iris_00059	21	ACCEPTABLE, ACCEPTABLE
iris_00059	23	VALID, VALID
iris_00059	25	INVALID, INVALID
iris_00059	27	VALID, VALID
iris_00060	5	INVALID, INVALID
iris_00060	7	ACCEPTABLE, INVALID
iris_00060	9	VALID, VALID
iris_00060	11	INVALID, INVALID
iris_00060	13	INVALID, INVALID
iris_00060	15	ACCEPTABLE, INVALID
iris_00060	17	INVALID, INVALID
iris_00060	19	ACCEPTABLE, ACCEPTABLE
iris_00061	5	ACCEPTABLE, VALID
iris_00061	7	INVALID, INVALID
iris_00061	9	ACCEPTABLE, ACCEPTABLE
iris_00061	11	INVALID, INVALID
iris_00062	1	VALID, VALID
iris_00062	3	VALID, VALID
iris_00062	5	ACCEPTABLE, ACCEPTABLE
iris_00062	7	VALID, VALID
iris_00062	13	ACCEPTABLE, VALID
iris_00062	15	VALID, VALID
iris_00062	17	VALID, VALID
iris_00062	19	INVALID, INVALID
iris_00062	21	VALID, ACCEPTABLE
iris_00062	23	ACCEPTABLE, ACCEPTABLE
iris_00062	25	VALID, VALID
iris_00062	27	INVALID, VALID
iris_00062	33	VALID, INVALID
iris_00062	35	VALID, VALID
iris_00062	37	INVALID, ACCEPTABLE
iris_00062	39	VALID, ACCEPTABLE
iris_00062	41	INVALID, INVALID
iris_00062	43	ACCEPTABLE, ACCEPTABLE
iris_00062	45	VALID, ACCEPTABLE
iris_00062	47	INVALID, INVALID
iris_00062	53	VALID, VALID
iris_00063	1	VALID, VALID
iris_00063	3	INVALID, INVALID
iris_00063	5	VALID, ACCEPTABLE
iris_00063	7	ACCEPTABLE, VALID
iris_00063	9	ACCEPTABLE, ACCEPTABLE
iris_00063	11	ACCEPTABLE, ACCEPTABLE
iris_00063	13	ACCEPTABLE, ACCEPTABLE
iris_00063	19	VALID, VALID
iris_00063	21	ACCEPTABLE, INVALID
iris_00063	23	INVALID, ACCEPTABLE
iris_00063	25	ACCEPTABLE, ACCEPTABLE
iris_00063	27	VALID, VALID
iris_00063	29	INVALID, INVALID
iris_00063	31	VALID, VALID
iris_00063	33	INVALID, ACCEPTABLE
iris_00063	39	INVALID, INVALID
iris_00063	41	ACCEPTABLE, INVALID
iris_00063	43	INVALID, INVALID
iris_00063	45	VALID, VALID
iris_00063	47	INVALID, VALID
iris_00063	49	VALID, VALID
iris_00063	51	ACCEPTABLE, ACCEPTABLE
iris_00063	53	VALID, VALID
iris_00064	5	VALID, VALID
iris_00064	7	VALID, ACCEPTABLE
iris_00064	9	INVALID, VALID
iris_00064	11	ACCEPTABLE, VALID
iris_00064	13	VALID, VALID
iris_00064	15	VALID, VALID
iris_00064	17	INVALID, ACCEPTABLE
iris_00064	19	ACCEPTABLE, VALID
iris_00064	25	INVALID, INVALID
iris_00064	27	ACCEPTABLE, INVALID
iris_00064	29	ACCEPTABLE, ACCEPTABLE
iris_00064	31	INVALID, INVALID
iris_00064	33	INVALID, ACCEPTABLE
iris_00064	35	INVALID, INVALID
iris_00064	37	VALID, ACCEPTABLE
iris_00064	39	ACCEPTABLE, ACCEPTABLE
iris_00064	45	VALID, VALID
